category,price,quantity,name
Pontiac,1,1,Spencer LLC
Volvo,2,2,Reilly and Sons
Land Rover,3,3,"Jerde, Schmeler and Trantow"
Chevrolet,4,4,Stoltenberg-Moore
Buick,5,5,Roob-Fisher
Ford,6,6,"Berge, Hackett and Jerde"
Audi,7,7,Zboncak-Schowalter
Audi,8,8,Herman Group
Mercedes-Benz,9,9,Waelchi Inc
Lexus,10,10,Roob-Will
Merkur,11,11,McLaughlin LLC
GMC,12,12,Hartmann-Ortiz
Volvo,13,13,Russel and Sons
Porsche,14,14,"Johns, Hettinger and Runte"
Audi,15,15,"Hammes, Gutkowski and Lynch"
Mercedes-Benz,16,16,Schoen-Dibbert
BMW,17,17,Block-Hoeger
Ford,18,18,Rohan-Schmeler
Mercedes-Benz,19,19,"Kuhlman, Yundt and O'Reilly"
Ford,20,20,Pouros-Feeney
Subaru,21,21,"Hilpert, Mraz and Kreiger"
BMW,22,22,Smith-Weissnat
Volkswagen,23,23,Stanton-Douglas
Mercedes-Benz,24,24,Blick-Feest
Chevrolet,25,25,Kreiger-Johns
Plymouth,26,26,Kiehn-Wisozk
Toyota,27,27,Cremin-Bogan
Porsche,28,28,Emard LLC
Ford,29,29,Kemmer Group
Volkswagen,30,30,Quitzon Inc
Mazda,31,31,Lebsack and Sons
Chevrolet,32,32,"Ferry, Jacobi and Lehner"
GMC,33,33,"Grady, McClure and Gaylord"
Lexus,34,34,"Langosh, Zboncak and Armstrong"
Volkswagen,35,35,Schaefer-Bruen
GMC,36,36,Bosco-White
Volkswagen,37,37,Terry LLC
Plymouth,38,38,"Rohan, Towne and Fritsch"
Ford,39,39,Harvey-Anderson
GMC,40,40,Flatley-DuBuque
Audi,41,41,Swaniawski Group
Buick,42,42,"Bauch, Bernier and McKenzie"
Plymouth,43,43,"Wolf, Anderson and Grady"
Maserati,44,44,Koch LLC
Ford,45,45,Spencer Group
Chevrolet,46,46,Okuneva Inc
Bentley,47,47,Bode and Sons
Mazda,48,48,Dickens Group
Lexus,49,49,"Braun, Kling and Roberts"
Nissan,50,50,"Wilkinson, Zieme and Grady"
